,0
0,1000000.0
1,1000556.0625
2,1005456.375
3,1007500.0
4,1002087.03125
5,1010374.359375
6,1014387.5416839599
7,1013886.7501388548
8,1019682.3422070313
9,1019801.08015625
10,1017366.9672949219
11,1017557.6257617187
12,1017611.4957617188
13,1023748.3457617187
14,1032831.3857617187
15,1038102.0057617188
16,1029426.5557617188
17,1023971.2357617187
18,1030167.4257617187
19,1027792.6357617186
20,1026764.875
21,1026764.875
22,1026764.875
23,1026764.875
24,1026764.875
25,1026764.875
26,1026764.875
27,1026764.875
28,1026764.875
29,1026764.875
30,1026764.875
31,1026764.875
32,1026764.875
33,1026764.875
34,1026764.875
35,1026036.3125
36,1027668.1875
37,1033534.1875
38,1034763.0625
39,1037918.5546875
40,1033011.8783105469
41,1031978.875
42,1031978.875
43,1031794.875
44,1031575.75
45,1030326.65625
46,1032487.9375
47,1037213.625
48,1036212.0625
49,1036212.0625
50,1036212.0625
51,1036212.0625
52,1037546.4375
53,1037345.4375
54,1039215.1875
55,1039046.75
56,1035167.375
57,1033244.28125
58,1029531.634765625
59,1032118.1599984742
60,1031086.0
61,1031086.0
62,1031086.0
