,0
0,1000000.0
1,1000040.1103050212
2,999859.7529028048
3,997637.8019045388
4,997833.7769112831
5,996092.355935173
6,993798.9907952632
7,993244.0821712727
8,988632.2793665734
9,989269.4081748021
10,992037.2030256127
11,980516.6839826303
12,989242.2835061294
13,986819.0098203223
14,984605.0438070439
15,987016.5016023825
16,989962.7055148475
17,996041.1809889458
18,986273.1008789862
19,982447.2975955906
20,981983.1829671718
21,988457.9652111295
22,984661.5415903192
23,993346.134998632
24,1001504.1913783831
25,1000575.6891720137
26,982707.3367254368
27,984656.9496929881
28,984440.1806708972
29,980739.3857438557
30,968656.7118407132
31,970286.7370084011
32,969112.5275745637
33,963083.2897306776
34,948594.7326495766
35,960028.0443739912
36,952055.2477699756
37,943255.3797548616
38,936524.0614684643
39,919649.364929233
40,917041.6436775017
41,929195.9259792258
42,913644.4708629602
43,918646.8607602676
44,912430.8599302582
45,938890.6295799974
46,936372.1287291145
47,950605.4284686808
48,950681.0527776509
49,948599.6895283192
50,963234.0625063432
51,970607.8560710791
52,965510.7633016194
53,956038.5899439243
54,993048.005255349
55,984179.5277525679
56,989418.1087711691
57,1008016.2084633389
58,996767.5027931643
59,975097.0601508764
60,981404.4317723946
61,994371.8775923867
62,1016088.8774591709
63,1016055.3310070893
64,1013367.443175125
65,996337.8275259692
66,996655.0596746254
67,1014348.5263265838
68,1010753.9797027714
69,1001659.0160106056
70,1006637.3130718837
71,1011774.5669530226
72,1010442.5228610454
73,986127.5106704974
74,1000164.9830115855
75,989571.2213300444
76,997569.3231692023
77,1006660.3299176928
78,1000659.8547091186
79,997110.1981591956
80,1016565.7514213272
81,1026202.0718442461
82,1031313.4265071842
83,1056002.8806653693
84,1059777.987195535
85,1059863.783242953
86,1052491.868800281
87,1071832.3435945758
88,1059299.5161027182
89,1063841.3351359756
90,1039119.1366496126
91,1048279.1422637189
92,1039695.563450419
93,1072663.119508348
94,1067559.4073022958
95,1063729.3169841748
96,1045918.1986572436
97,1046010.2782035744
98,1066831.9963202947
99,1051824.0754700853
100,1059849.848063149
101,1074843.8597245903
102,1104171.5453472864
103,1111505.6680423673
104,1101264.4924980437
105,1107856.6949552495
106,1112280.0067768695
107,1108401.901208344
108,1108317.7331172135
109,1102126.4347373038
110,1102725.5824208588
111,1105302.297941284
112,1076599.249739148
113,1066556.4780196117
114,1072205.2106023657
115,1078085.1855224227
116,1074115.7978824507
117,1048814.1421782165
118,1045015.5770602127
119,1045553.3719260311
120,1067181.2982829504
121,1066189.0228622851
122,1076828.6881825337
123,1070677.2347232448
124,1077896.1507497628
125,1047372.2390491173
126,1055942.6032965877
127,1037531.4179790132
128,1041368.7669132276
129,1037581.2909716823
130,1035144.0053307032
131,1059635.6116091888
132,1067529.5426738095
133,1107825.0051550826
134,1114736.0930618716
135,1120506.6106492148
136,1139833.405902212
137,1147476.2514297513
138,1147677.00711345
139,1169827.1645881003
140,1170350.7028252513
141,1167889.883283504
142,1166925.4833475708
143,1170986.4130234208
144,1193371.1699505607
145,1186125.0141665773
146,1208355.4196062447
147,1210601.4148038956
148,1205539.7367728525
149,1202690.03437474
150,1205404.1283619697
151,1202323.7127941062
152,1195218.4119710291
153,1213851.2202206263
154,1215858.7070448983
155,1203223.8297577763
156,1176569.569107908
157,1185747.4525004576
158,1192319.3621963658
159,1205129.3934826397
160,1233759.7200458809
161,1232155.2246148232
162,1229762.7063959385
163,1228969.1789630773
164,1227264.1413901048
165,1233851.8655010418
166,1224683.8144294035
167,1200919.03046965
168,1193687.3459341717
169,1196560.6111586008
170,1221703.672245111
171,1231028.693375836
172,1252656.1248439855
173,1268664.8462905553
174,1269766.1962342113
175,1282547.0309912998
176,1288841.2653077994
177,1295484.895685144
178,1302949.83166939
179,1309939.4313720763
180,1301278.2041159759
181,1313401.7144332167
182,1300025.1787238265
183,1289434.5447307008
184,1278828.163050728
185,1305526.5273351076
186,1298239.1150267124
